shape_pt_lat,shape_pt_lon,shape_pt_sequence,line,shape_id,global_seq
3.150787,101.760359,0,LRT Ampang,103075-shp_AG_0,0
3.142863,101.75951,1,LRT Ampang,103075-shp_AG_0,1
3.138825,101.753709,2,LRT Ampang,103075-shp_AG_0,2
3.125958,101.731529,3,LRT Ampang,103075-shp_AG_0,3
3.121994,101.724878,4,LRT Ampang,103075-shp_AG_0,4
3.120423,101.721709,5,LRT Ampang,103075-shp_AG_0,5
3.120263,101.720171,6,LRT Ampang,103075-shp_AG_0,6
3.120743,101.718474,7,LRT Ampang,103075-shp_AG_0,7
3.121375,101.717293,8,LRT Ampang,103075-shp_AG_0,8
3.123634,101.715816,9,LRT Ampang,103075-shp_AG_0,9
3.125304,101.715318,10,LRT Ampang,103075-shp_AG_0,10
3.128252,101.715645,11,LRT Ampang,103075-shp_AG_0,11
3.12983,101.715855,12,LRT Ampang,103075-shp_AG_0,12
3.131725,101.715312,13,LRT Ampang,103075-shp_AG_0,13
3.133349,101.71342,14,LRT Ampang,103075-shp_AG_0,14
3.135784,101.71145,15,LRT Ampang,103075-shp_AG_0,15
3.137232,101.709723,16,LRT Ampang,103075-shp_AG_0,16
3.1399,101.706109,17,LRT Ampang,103075-shp_AG_0,17
3.141196,101.70462,18,LRT Ampang,103075-shp_AG_0,18
3.14311,101.702969,19,LRT Ampang,103075-shp_AG_0,19
3.145197,101.701141,20,LRT Ampang,103075-shp_AG_0,20
3.145559,101.7002,21,LRT Ampang,103075-shp_AG_0,21
3.145807,101.699713,22,LRT Ampang,103075-shp_AG_0,22
3.146438,101.699212,23,LRT Ampang,103075-shp_AG_0,23
3.148117,101.697611,24,LRT Ampang,103075-shp_AG_0,24
3.150781,101.695274,25,LRT Ampang,103075-shp_AG_0,25
3.151241,101.694569,26,LRT Ampang,103075-shp_AG_0,26
3.151776,101.693848,27,LRT Ampang,103075-shp_AG_0,27
3.152417,101.693671,28,LRT Ampang,103075-shp_AG_0,28
3.153908,101.693961,29,LRT Ampang,103075-shp_AG_0,29
3.155335,101.694362,30,LRT Ampang,103075-shp_AG_0,30
3.156722,101.694501,31,LRT Ampang,103075-shp_AG_0,31
3.158011,101.694094,32,LRT Ampang,103075-shp_AG_0,32
3.159516,101.693718,33,LRT Ampang,103075-shp_AG_0,33
3.161637,101.694233,34,LRT Ampang,103075-shp_AG_0,34
3.16243,101.694355,35,LRT Ampang,103075-shp_AG_0,35
3.163646,101.693694,36,LRT Ampang,103075-shp_AG_0,36
3.164321,101.693596,37,LRT Ampang,103075-shp_AG_0,37
3.16538,101.693855,38,LRT Ampang,103075-shp_AG_0,38
3.168073,101.693286,39,LRT Ampang,103075-shp_AG_0,39
3.168763,101.693513,40,LRT Ampang,103075-shp_AG_0,40
3.169827,101.694416,41,LRT Ampang,103075-shp_AG_0,41
3.170848,101.695182,42,LRT Ampang,103075-shp_AG_0,42
3.171733,101.695441,43,LRT Ampang,103075-shp_AG_0,43
3.173987,101.695246,44,LRT Ampang,103075-shp_AG_0,44
3.17566,101.695426,45,LRT Ampang,103075-shp_AG_0,45
3.17686,101.695921,46,LRT Ampang,103075-shp_AG_0,46
3.179183,101.695376,47,LRT Ampang,103075-shp_AG_0,47
3.181569,101.69455,48,LRT Ampang,103075-shp_AG_0,48
3.182352,101.694553,49,LRT Ampang,103075-shp_AG_0,49
3.184515,101.695524,50,LRT Ampang,103075-shp_AG_0,50
2.996654,101.574614,0,LRT Kelana Jaya,103075-shp_KJ_0,10000
2.997445,101.573295,1,LRT Kelana Jaya,103075-shp_KJ_0,10001
2.99794,101.573027,2,LRT Kelana Jaya,103075-shp_KJ_0,10002
2.999754,101.572875,3,LRT Kelana Jaya,103075-shp_KJ_0,10003
3.002177,101.572836,4,LRT Kelana Jaya,103075-shp_KJ_0,10004
3.003115,101.572569,5,LRT Kelana Jaya,103075-shp_KJ_0,10005
3.005601,101.572107,6,LRT Kelana Jaya,103075-shp_KJ_0,10006
3.009549,101.572151,7,LRT Kelana Jaya,103075-shp_KJ_0,10007
3.011363,101.572117,8,LRT Kelana Jaya,103075-shp_KJ_0,10008
3.013015,101.571712,9,LRT Kelana Jaya,103075-shp_KJ_0,10009
3.0143,101.571734,10,LRT Kelana Jaya,103075-shp_KJ_0,10010
3.015893,101.572062,11,LRT Kelana Jaya,103075-shp_KJ_0,10011
3.020426,101.571976,12,LRT Kelana Jaya,103075-shp_KJ_0,10012
3.02509,101.572072,13,LRT Kelana Jaya,103075-shp_KJ_0,10013
3.029076,101.572074,14,LRT Kelana Jaya,103075-shp_KJ_0,10014
3.029783,101.572405,15,LRT Kelana Jaya,103075-shp_KJ_0,10015
3.030184,101.572902,16,LRT Kelana Jaya,103075-shp_KJ_0,10016
3.030528,101.574572,17,LRT Kelana Jaya,103075-shp_KJ_0,10017
3.030507,101.575562,18,LRT Kelana Jaya,103075-shp_KJ_0,10018
3.030263,101.577642,19,LRT Kelana Jaya,103075-shp_KJ_0,10019
3.029827,101.578578,20,LRT Kelana Jaya,103075-shp_KJ_0,10020
3.028968,101.579714,21,LRT Kelana Jaya,103075-shp_KJ_0,10021
3.028888,101.580529,22,LRT Kelana Jaya,103075-shp_KJ_0,10022
3.029438,101.581355,23,LRT Kelana Jaya,103075-shp_KJ_0,10023
3.030622,101.583141,24,LRT Kelana Jaya,103075-shp_KJ_0,10024
3.0308,101.583929,25,LRT Kelana Jaya,103075-shp_KJ_0,10025
3.030949,101.585649,26,LRT Kelana Jaya,103075-shp_KJ_0,10026
3.031365,101.586985,27,LRT Kelana Jaya,103075-shp_KJ_0,10027
3.031865,101.587606,28,LRT Kelana Jaya,103075-shp_KJ_0,10028
3.033044,101.588079,29,LRT Kelana Jaya,103075-shp_KJ_0,10029
3.035017,101.588107,30,LRT Kelana Jaya,103075-shp_KJ_0,10030
3.040659,101.588111,31,LRT Kelana Jaya,103075-shp_KJ_0,10031
3.045249,101.588251,32,LRT Kelana Jaya,103075-shp_KJ_0,10032
3.046111,101.58871,33,LRT Kelana Jaya,103075-shp_KJ_0,10033
3.048223,101.590483,34,LRT Kelana Jaya,103075-shp_KJ_0,10034
3.049734,101.591675,35,LRT Kelana Jaya,103075-shp_KJ_0,10035
3.050562,101.591907,36,LRT Kelana Jaya,103075-shp_KJ_0,10036
3.056611,101.591948,37,LRT Kelana Jaya,103075-shp_KJ_0,10037
3.058177,101.591995,38,LRT Kelana Jaya,103075-shp_KJ_0,10038
3.060054,101.592635,39,LRT Kelana Jaya,103075-shp_KJ_0,10039
3.061834,101.593177,40,LRT Kelana Jaya,103075-shp_KJ_0,10040
3.062585,101.592784,41,LRT Kelana Jaya,103075-shp_KJ_0,10041
3.062825,101.592332,42,LRT Kelana Jaya,103075-shp_KJ_0,10042
3.062825,101.591109,43,LRT Kelana Jaya,103075-shp_KJ_0,10043
3.062957,101.587256,44,LRT Kelana Jaya,103075-shp_KJ_0,10044
3.063273,101.586449,45,LRT Kelana Jaya,103075-shp_KJ_0,10045
3.06416,101.586071,46,LRT Kelana Jaya,103075-shp_KJ_0,10046
3.072775,101.586078,47,LRT Kelana Jaya,103075-shp_KJ_0,10047
3.077448,101.586148,48,LRT Kelana Jaya,103075-shp_KJ_0,10048
3.07828,101.585919,49,LRT Kelana Jaya,103075-shp_KJ_0,10049
3.081589,101.584002,50,LRT Kelana Jaya,103075-shp_KJ_0,10050
3.082756,101.583553,51,LRT Kelana Jaya,103075-shp_KJ_0,10051
3.083587,101.583804,52,LRT Kelana Jaya,103075-shp_KJ_0,10052
3.08476,101.585829,53,LRT Kelana Jaya,103075-shp_KJ_0,10053
3.084869,101.587634,54,LRT Kelana Jaya,103075-shp_KJ_0,10054
3.084815,101.589705,55,LRT Kelana Jaya,103075-shp_KJ_0,10055
3.085355,101.590695,56,LRT Kelana Jaya,103075-shp_KJ_0,10056
3.086267,101.59096,57,LRT Kelana Jaya,103075-shp_KJ_0,10057
3.087716,101.590347,58,LRT Kelana Jaya,103075-shp_KJ_0,10058
3.088652,101.590196,59,LRT Kelana Jaya,103075-shp_KJ_0,10059
3.089998,101.590421,60,LRT Kelana Jaya,103075-shp_KJ_0,10060
3.092795,101.591019,61,LRT Kelana Jaya,103075-shp_KJ_0,10061
3.094567,101.590934,62,LRT Kelana Jaya,103075-shp_KJ_0,10062
3.09721,101.5899,63,LRT Kelana Jaya,103075-shp_KJ_0,10063
3.099468,101.588811,64,LRT Kelana Jaya,103075-shp_KJ_0,10064
3.102254,101.587378,65,LRT Kelana Jaya,103075-shp_KJ_0,10065
3.106231,101.585903,66,LRT Kelana Jaya,103075-shp_KJ_0,10066
3.108654,101.58668,67,LRT Kelana Jaya,103075-shp_KJ_0,10067
3.112205,101.588278,68,LRT Kelana Jaya,103075-shp_KJ_0,10068
3.112725,101.58926,69,LRT Kelana Jaya,103075-shp_KJ_0,10069
3.112665,101.590222,70,LRT Kelana Jaya,103075-shp_KJ_0,10070
3.111541,101.592025,71,LRT Kelana Jaya,103075-shp_KJ_0,10071
3.111155,101.592866,72,LRT Kelana Jaya,103075-shp_KJ_0,10072
3.111078,101.594948,73,LRT Kelana Jaya,103075-shp_KJ_0,10073
3.11206,101.596693,74,LRT Kelana Jaya,103075-shp_KJ_0,10074
3.113388,101.599581,75,LRT Kelana Jaya,103075-shp_KJ_0,10075
3.113412,101.600506,76,LRT Kelana Jaya,103075-shp_KJ_0,10076
3.110107,101.615494,77,LRT Kelana Jaya,103075-shp_KJ_0,10077
3.107262,101.619384,78,LRT Kelana Jaya,103075-shp_KJ_0,10078
3.104095,101.624128,79,LRT Kelana Jaya,103075-shp_KJ_0,10079
3.103339,101.626787,80,LRT Kelana Jaya,103075-shp_KJ_0,10080
3.103364,101.628974,81,LRT Kelana Jaya,103075-shp_KJ_0,10081
3.104729,101.64029,82,LRT Kelana Jaya,103075-shp_KJ_0,10082
3.104676,101.642032,83,LRT Kelana Jaya,103075-shp_KJ_0,10083
3.103846,101.646958,84,LRT Kelana Jaya,103075-shp_KJ_0,10084
3.103697,101.649041,85,LRT Kelana Jaya,103075-shp_KJ_0,10085
3.10383,101.650139,86,LRT Kelana Jaya,103075-shp_KJ_0,10086
3.10697,101.65525,87,LRT Kelana Jaya,103075-shp_KJ_0,10087
3.108249,101.656897,88,LRT Kelana Jaya,103075-shp_KJ_0,10088
3.11304,101.659023,89,LRT Kelana Jaya,103075-shp_KJ_0,10089
3.113735,101.659527,90,LRT Kelana Jaya,103075-shp_KJ_0,10090
3.114537,101.661155,91,LRT Kelana Jaya,103075-shp_KJ_0,10091
3.114767,101.665927,92,LRT Kelana Jaya,103075-shp_KJ_0,10092
3.11554,101.667385,93,LRT Kelana Jaya,103075-shp_KJ_0,10093
3.115457,101.669148,94,LRT Kelana Jaya,103075-shp_KJ_0,10094
3.115109,101.670389,95,LRT Kelana Jaya,103075-shp_KJ_0,10095
3.115105,101.671414,96,LRT Kelana Jaya,103075-shp_KJ_0,10096
3.115628,101.672011,97,LRT Kelana Jaya,103075-shp_KJ_0,10097
3.116929,101.672284,98,LRT Kelana Jaya,103075-shp_KJ_0,10098
3.119117,101.673023,99,LRT Kelana Jaya,103075-shp_KJ_0,10099
3.120071,101.673413,100,LRT Kelana Jaya,103075-shp_KJ_0,10100
3.122889,101.676054,101,LRT Kelana Jaya,103075-shp_KJ_0,10101
3.124865,101.677679,102,LRT Kelana Jaya,103075-shp_KJ_0,10102
3.126582,101.678406,103,LRT Kelana Jaya,103075-shp_KJ_0,10103
3.128481,101.679788,104,LRT Kelana Jaya,103075-shp_KJ_0,10104
3.129336,101.6811,105,LRT Kelana Jaya,103075-shp_KJ_0,10105
3.131279,101.682701,106,LRT Kelana Jaya,103075-shp_KJ_0,10106
3.133026,101.684566,107,LRT Kelana Jaya,103075-shp_KJ_0,10107
3.13499,101.687934,108,LRT Kelana Jaya,103075-shp_KJ_0,10108
3.136372,101.690122,109,LRT Kelana Jaya,103075-shp_KJ_0,10109
3.137196,101.692181,110,LRT Kelana Jaya,103075-shp_KJ_0,10110
3.138206,101.694042,111,LRT Kelana Jaya,103075-shp_KJ_0,10111
3.139677,101.694783,112,LRT Kelana Jaya,103075-shp_KJ_0,10112
3.141722,101.695402,113,LRT Kelana Jaya,103075-shp_KJ_0,10113
3.143644,101.695352,114,LRT Kelana Jaya,103075-shp_KJ_0,10114
3.14418,101.695184,115,LRT Kelana Jaya,103075-shp_KJ_0,10115
3.145192,101.694934,116,LRT Kelana Jaya,103075-shp_KJ_0,10116
3.147681,101.69546,117,LRT Kelana Jaya,103075-shp_KJ_0,10117
3.148494,101.696038,118,LRT Kelana Jaya,103075-shp_KJ_0,10118
3.149714,101.696815,119,LRT Kelana Jaya,103075-shp_KJ_0,10119
3.150733,101.697538,120,LRT Kelana Jaya,103075-shp_KJ_0,10120
3.151964,101.698103,121,LRT Kelana Jaya,103075-shp_KJ_0,10121
3.152619,101.69952,122,LRT Kelana Jaya,103075-shp_KJ_0,10122
3.154646,101.70095,123,LRT Kelana Jaya,103075-shp_KJ_0,10123
3.15578,101.701637,124,LRT Kelana Jaya,103075-shp_KJ_0,10124
3.156942,101.701975,125,LRT Kelana Jaya,103075-shp_KJ_0,10125
3.158879,101.703576,126,LRT Kelana Jaya,103075-shp_KJ_0,10126
3.160242,101.704288,127,LRT Kelana Jaya,103075-shp_KJ_0,10127
3.161003,101.705901,128,LRT Kelana Jaya,103075-shp_KJ_0,10128
3.161366,101.706817,129,LRT Kelana Jaya,103075-shp_KJ_0,10129
3.161296,101.707744,130,LRT Kelana Jaya,103075-shp_KJ_0,10130
3.160445,101.708931,131,LRT Kelana Jaya,103075-shp_KJ_0,10131
3.159326,101.709656,132,LRT Kelana Jaya,103075-shp_KJ_0,10132
3.159269,101.71134,133,LRT Kelana Jaya,103075-shp_KJ_0,10133
3.15943,101.714317,134,LRT Kelana Jaya,103075-shp_KJ_0,10134
3.160401,101.716114,135,LRT Kelana Jaya,103075-shp_KJ_0,10135
3.160359,101.717686,136,LRT Kelana Jaya,103075-shp_KJ_0,10136
3.159906,101.719561,137,LRT Kelana Jaya,103075-shp_KJ_0,10137
3.160371,101.720714,138,LRT Kelana Jaya,103075-shp_KJ_0,10138
3.161196,101.721342,139,LRT Kelana Jaya,103075-shp_KJ_0,10139
3.16275,101.721492,140,LRT Kelana Jaya,103075-shp_KJ_0,10140
3.164076,101.721874,141,LRT Kelana Jaya,103075-shp_KJ_0,10141
3.164643,101.722711,142,LRT Kelana Jaya,103075-shp_KJ_0,10142
3.164717,101.723563,143,LRT Kelana Jaya,103075-shp_KJ_0,10143
3.164294,101.725399,144,LRT Kelana Jaya,103075-shp_KJ_0,10144
3.164622,101.727319,145,LRT Kelana Jaya,103075-shp_KJ_0,10145
3.164918,101.729689,146,LRT Kelana Jaya,103075-shp_KJ_0,10146
3.165034,101.734751,147,LRT Kelana Jaya,103075-shp_KJ_0,10147
3.165847,101.735235,148,LRT Kelana Jaya,103075-shp_KJ_0,10148
3.172701,101.735098,149,LRT Kelana Jaya,103075-shp_KJ_0,10149
3.175643,101.735781,150,LRT Kelana Jaya,103075-shp_KJ_0,10150
3.17952,101.737727,151,LRT Kelana Jaya,103075-shp_KJ_0,10151
3.187226,101.740185,152,LRT Kelana Jaya,103075-shp_KJ_0,10152
3.190959,101.740722,153,LRT Kelana Jaya,103075-shp_KJ_0,10153
3.195388,101.738755,154,LRT Kelana Jaya,103075-shp_KJ_0,10154
3.199176,101.73747,155,LRT Kelana Jaya,103075-shp_KJ_0,10155
3.202879,101.735831,156,LRT Kelana Jaya,103075-shp_KJ_0,10156
